Editorial;Genero;Plataforma;Nombre;Plataforma;Region;Ano;Venta Millones
20th Century Fox Video Games;Action;2600;Alien;2600;Europa;1981;0.04
20th Century Fox Video Games;Action;2600;Alien;2600;Japon;1981;0
20th Century Fox Video Games;Action;2600;Alien;2600;Norte America;1981;0.74
20th Century Fox Video Games;Action;2600;Alien;2600;Otros;1981;0.01
20th Century Fox Video Games;Action;2600;Bank Heist;2600;Europa;1982;0.02
20th Century Fox Video Games;Action;2600;Bank Heist;2600;Japon;1982;0
20th Century Fox Video Games;Action;2600;Bank Heist;2600;Norte America;1982;0.32
20th Century Fox Video Games;Action;2600;Bank Heist;2600;Otros;1982;0
20th Century Fox Video Games;Action;2600;Fantastic Voyage;2600;Europa;1981;0.02
20th Century Fox Video Games;Action;2600;Fantastic Voyage;2600;Japon;1981;0
20th Century Fox Video Games;Action;2600;Fantastic Voyage;2600;Norte America;1981;0.32
20th Century Fox Video Games;Action;2600;Fantastic Voyage;2600;Otros;1981;0
20th Century Fox Video Games;Action;2600;Porky's;2600;Europa;1982;0.01
20th Century Fox Video Games;Action;2600;Porky's;2600;Japon;1982;0
20th Century Fox Video Games;Action;2600;Porky's;2600;Norte America;1982;0.23
20th Century Fox Video Games;Action;2600;Porky's;2600;Otros;1982;0
3DO;Action;PS;Army Men 3D;PS;Europa;1999;0.14
3DO;Action;PS;Army Men 3D;PS;Japon;1999;0
3DO;Action;PS;Army Men 3D;PS;Norte America;1999;1.1
3DO;Action;PS;Army Men 3D;PS;Otros;1999;0.04
3DO;Action;PS;Army Men World War: Final Front;PS;Europa;2001;0.17
3DO;Action;PS;Army Men World War: Final Front;PS;Japon;2001;0
3DO;Action;PS;Army Men World War: Final Front;PS;Norte America;2001;0.24
3DO;Action;PS;Army Men World War: Final Front;PS;Otros;2001;0.03
3DO;Action;PS;Army Men World War: Land, Sea, Air;PS;Europa;2000;0.12
3DO;Action;PS;Army Men World War: Land, Sea, Air;PS;Japon;2000;0
3DO;Action;PS;Army Men World War: Land, Sea, Air;PS;Norte America;2000;0.17
3DO;Action;PS;Army Men World War: Land, Sea, Air;PS;Otros;2000;0.02
3DO;Action;PS;Army Men World War: Team Assault;PS;Europa;2001;0.04
3DO;Action;PS;Army Men World War: Team Assault;PS;Japon;2001;0
3DO;Action;PS;Army Men World War: Team Assault;PS;Norte America;2001;0.06
3DO;Action;PS;Army Men World War: Team Assault;PS;Otros;2001;0.01
3DO;Action;PS;Army Men: Air Attack;PS;Europa;1999;0.32
3DO;Action;PS;Army Men: Air Attack;PS;Japon;1999;0
3DO;Action;PS;Army Men: Air Attack;PS;Norte America;1999;0.47
3DO;Action;PS;Army Men: Air Attack;PS;Otros;1999;0.06
3DO;Action;PS;Army Men: Air Attack 2;PS;Europa;2000;0.11
3DO;Action;PS;Army Men: Air Attack 2;PS;Japon;2000;0
3DO;Action;PS;Army Men: Air Attack 2;PS;Norte America;2000;0.17
3DO;Action;PS;Army Men: Air Attack 2;PS;Otros;2000;0.02
3DO;Action;N64;Army Men: Air Combat;N64;Europa;2000;0.05
3DO;Action;N64;Army Men: Air Combat;N64;Japon;2000;0
3DO;Action;N64;Army Men: Air Combat;N64;Norte America;2000;0.19
3DO;Action;N64;Army Men: Air Combat;N64;Otros;2000;0
3DO;Action;PS;Army Men: Green Rogue;PS;Europa;2001;0.02
3DO;Action;PS;Army Men: Green Rogue;PS;Japon;2001;0
3DO;Action;PS;Army Men: Green Rogue;PS;Norte America;2001;0.04
3DO;Action;PS;Army Men: Green Rogue;PS;Otros;2001;0
3DO;Action;PS2;Army Men: Green Rogue;PS2;Europa;2001;0.05
3DO;Action;PS2;Army Men: Green Rogue;PS2;Japon;2001;0
3DO;Action;PS2;Army Men: Green Rogue;PS2;Norte America;2001;0.06
3DO;Action;PS2;Army Men: Green Rogue;PS2;Otros;2001;0.02
3DO;Action;N64;Army Men: Sarge's Heroes;N64;Europa;1999;0.12
3DO;Action;N64;Army Men: Sarge's Heroes;N64;Japon;1999;0
3DO;Action;N64;Army Men: Sarge's Heroes;N64;Norte America;1999;0.68
3DO;Action;N64;Army Men: Sarge's Heroes;N64;Otros;1999;0.01
3DO;Action;PS;Army Men: Sarge's Heroes;PS;Europa;1999;0.21
3DO;Action;PS;Army Men: Sarge's Heroes;PS;Japon;1999;0
3DO;Action;PS;Army Men: Sarge's Heroes;PS;Norte America;1999;0.31
3DO;Action;PS;Army Men: Sarge's Heroes;PS;Otros;1999;0.04
3DO;Action;N64;BattleTanx;N64;Europa;1998;0.06
3DO;Action;N64;BattleTanx;N64;Japon;1998;0
3DO;Action;N64;BattleTanx;N64;Norte America;1998;0.26
3DO;Action;N64;BattleTanx;N64;Otros;1998;0
3DO;Action;N64;BattleTanx: Global Assault;N64;Europa;1999;0.07
3DO;Action;N64;BattleTanx: Global Assault;N64;Japon;1999;0
3DO;Action;N64;BattleTanx: Global Assault;N64;Norte America;1999;0.31
3DO;Action;N64;BattleTanx: Global Assault;N64;Otros;1999;0
3DO;Action;PS2;Godai: Elemental Force;PS2;Europa;2002;0.03
3DO;Action;PS2;Godai: Elemental Force;PS2;Japon;2002;0
3DO;Action;PS2;Godai: Elemental Force;PS2;Norte America;2002;0.04
3DO;Action;PS2;Godai: Elemental Force;PS2;Otros;2002;0.01
3DO;Action;PS;Uprising X;PS;Europa;1998;0.03
3DO;Action;PS;Uprising X;PS;Japon;1998;0
3DO;Action;PS;Uprising X;PS;Norte America;1998;0.04
3DO;Action;PS;Uprising X;PS;Otros;1998;0
3DO;Action;PS;World Destruction League: Thunder Tanks;PS;Europa;2000;0.06
3DO;Action;PS;World Destruction League: Thunder Tanks;PS;Japon;2000;0
3DO;Action;PS;World Destruction League: Thunder Tanks;PS;Norte America;2000;0.09
3DO;Action;PS;World Destruction League: Thunder Tanks;PS;Otros;2000;0.01
3DO;Action;PS2;World Destruction League: Thunder Tanks;PS2;Europa;2000;0.07
3DO;Action;PS2;World Destruction League: Thunder Tanks;PS2;Japon;2000;0
3DO;Action;PS2;World Destruction League: Thunder Tanks;PS2;Norte America;2000;0.08
3DO;Action;PS2;World Destruction League: Thunder Tanks;PS2;Otros;2000;0.02
505 Games;Action;DS;Cats & Dogs: The Revenge of Kitty Galore;DS;Europa;2010;0
505 Games;Action;DS;Cats & Dogs: The Revenge of Kitty Galore;DS;Japon;2010;0
505 Games;Action;DS;Cats & Dogs: The Revenge of Kitty Galore;DS;Norte America;2010;0.1
505 Games;Action;DS;Cats & Dogs: The Revenge of Kitty Galore;DS;Otros;2010;0.01
505 Games;Action;DS;Deep Labyrinth;DS;Europa;2006;0
505 Games;Action;DS;Deep Labyrinth;DS;Japon;2006;0
505 Games;Action;DS;Deep Labyrinth;DS;Norte America;2006;0.06
505 Games;Action;DS;Deep Labyrinth;DS;Otros;2006;0
505 Games;Action;3DS;Naruto Shippuden 3D: The New Era;3DS;Europa;2011;0.04
505 Games;Action;3DS;Naruto Shippuden 3D: The New Era;3DS;Japon;2011;0.06
505 Games;Action;3DS;Naruto Shippuden 3D: The New Era;3DS;Norte America;2011;0
505 Games;Action;3DS;Naruto Shippuden 3D: The New Era;3DS;Otros;2011;0.01
505 Games;Action;Wii;Naruto Shippuden: Dragon Blade Chronicles;Wii;Europa;2009;0.02
505 Games;Action;Wii;Naruto Shippuden: Dragon Blade Chronicles;Wii;Japon;2009;0.05
505 Games;Action;Wii;Naruto Shippuden: Dragon Blade Chronicles;Wii;Norte America;2009;0.11
505 Games;Action;Wii;Naruto Shippuden: Dragon Blade Chronicles;Wii;Otros;2009;0.01
505 Games;Action;PS3;Naughty Bear;PS3;Europa;2010;0.18
505 Games;Action;PS3;Naughty Bear;PS3;Japon;2010;0
505 Games;Action;PS3;Naughty Bear;PS3;Norte America;2010;0.18
505 Games;Action;PS3;Naughty Bear;PS3;Otros;2010;0.07
505 Games;Action;X360;Naughty Bear;X360;Europa;2010;0.16
505 Games;Action;X360;Naughty Bear;X360;Japon;2010;0
505 Games;Action;X360;Naughty Bear;X360;Norte America;2010;0.21
505 Games;Action;X360;Naughty Bear;X360;Otros;2010;0.04
505 Games;Action;PS2;Raw Danger!;PS2;Europa;2006;0.01
505 Games;Action;PS2;Raw Danger!;PS2;Japon;2006;0
505 Games;Action;PS2;Raw Danger!;PS2;Norte America;2006;0.02
505 Games;Action;PS2;Raw Danger!;PS2;Otros;2006;0
505 Games;Action;PS2;Raw Danger! (JP sales);PS2;Europa;2006;0
505 Games;Action;PS2;Raw Danger! (JP sales);PS2;Japon;2006;0.06
505 Games;Action;PS2;Raw Danger! (JP sales);PS2;Norte America;2006;0
505 Games;Action;PS2;Raw Danger! (JP sales);PS2;Otros;2006;0
505 Games;Action;PS2;Rule of Rose;PS2;Europa;2006;0.01
505 Games;Action;PS2;Rule of Rose;PS2;Japon;2006;0
505 Games;Action;PS2;Rule of Rose;PS2;Norte America;2006;0.01
505 Games;Action;PS2;Rule of Rose;PS2;Otros;2006;0
505 Games;Action;PS2;Samurai Western;PS2;Europa;2004;0.03
505 Games;Action;PS2;Samurai Western;PS2;Japon;2004;0
505 Games;Action;PS2;Samurai Western;PS2;Norte America;2004;0.04
505 Games;Action;PS2;Samurai Western;PS2;Otros;2004;0.01
505 Games;Action;Wii;Shin Chan: Las Nuevas Aventuras Para Wii!;Wii;Europa;2006;0
