Fecha;Nemotecnico; Preciocierre ; Precio_maximo ; Precio_promedio_ponderado ; Precio_minimo ;Cantidad;Volumen;Rendimiento
1/09/2022;ECOPETROL;2,210.00;2,257.00;2,206.09;2,180.00;7,260,050.00;16,016,334,209.00;3.905%
2/09/2022;ECOPETROL;2,298.00;2,305.00;2,280.98;2,217.00;4,997,266.00;11,398,669,276.00;1.554%
5/09/2022;ECOPETROL;2,334.00;2,360.00;2,341.56;2,306.00;1,089,796.00;2,551,823,729.00;0.086%
6/09/2022;ECOPETROL;2,336.00;2,370.00;2,345.80;2,320.00;2,978,120.00;6,986,064,582.00;-2.734%
7/09/2022;ECOPETROL;2,273.00;2,320.00;2,278.25;2,250.00;4,054,581.00;9,237,335,340.00;-1.462%
8/09/2022;ECOPETROL;2,240.00;2,295.00;2,253.00;2,235.00;5,573,422.00;12,556,913,741.00;4.025%
9/09/2022;ECOPETROL;2,332.00;2,355.00;2,335.03;2,282.00;5,190,574.00;12,120,168,236.00;2.791%
12/09/2022;ECOPETROL;2,398.00;2,435.00;2,405.72;2,335.00;4,305,164.00;10,357,031,391.00;-0.376%
13/09/2022;ECOPETROL;2,389.00;2,406.00;2,384.76;2,359.00;5,586,669.00;13,322,877,902.00;0.418%
14/09/2022;ECOPETROL;2,399.00;2,450.00;2,425.32;2,390.00;7,384,883.00;17,910,688,007.00;-3.997%
15/09/2022;ECOPETROL;2,305.00;2,400.00;2,331.65;2,300.00;5,064,177.00;11,807,870,524.00;-0.217%
16/09/2022;ECOPETROL;2,300.00;2,305.00;2,281.49;2,223.00;21,572,838.00;49,218,202,957.00;-0.873%
19/09/2022;ECOPETROL;2,280.00;2,290.00;2,263.61;2,218.00;2,612,146.00;5,912,892,276.00;-2.622%
20/09/2022;ECOPETROL;2,221.00;2,250.00;2,227.15;2,218.00;7,905,464.00;17,606,671,697.00;-1.863%
21/09/2022;ECOPETROL;2,180.00;2,250.00;2,193.26;2,177.00;7,001,838.00;15,356,840,703.00;1.322%
22/09/2022;ECOPETROL;2,209.00;2,244.00;2,202.62;2,175.00;4,102,971.00;9,037,290,573.00;-8.254%
23/09/2022;ECOPETROL;2,034.00;2,156.00;2,066.06;2,034.00;9,944,859.00;20,546,659,652.00;-3.197%
26/09/2022;ECOPETROL;1,970.00;2,050.00;1,976.55;1,940.00;5,590,268.00;11,049,455,386.00;2.457%
27/09/2022;ECOPETROL;2,019.00;2,093.00;2,033.03;1,992.00;4,025,883.00;8,184,754,399.00;2.059%
28/09/2022;ECOPETROL;2,061.00;2,061.00;2,032.42;1,994.00;3,738,569.00;7,598,340,617.00;0.918%
29/09/2022;ECOPETROL;2,080.00;2,083.00;2,063.37;1,995.00;2,743,619.00;5,661,094,712.00;-0.289%
30/09/2022;ECOPETROL;2,074.00;2,115.00;2,080.52;2,050.00;3,932,254.00;8,181,119,239.00;4.985%
3/10/2022;ECOPETROL;2,180.00;2,180.00;2,157.59;2,115.00;6,272,451.00;13,533,383,833.00;5.228%
4/10/2022;ECOPETROL;2,297.00;2,297.00;2,268.71;2,180.00;7,237,401.00;16,419,538,152.00;1.212%
5/10/2022;ECOPETROL;2,325.00;2,335.00;2,312.38;2,240.00;10,043,541.00;23,224,435,529.00;2.001%
6/10/2022;ECOPETROL;2,372.00;2,378.00;2,358.79;2,325.00;10,533,768.00;24,846,934,572.00;-1.358%
7/10/2022;ECOPETROL;2,340.00;2,402.00;2,370.75;2,329.00;6,702,153.00;15,889,133,598.00;-3.567%
10/10/2022;ECOPETROL;2,258.00;2,351.00;2,264.93;2,240.00;4,409,461.00;9,987,104,882.00;-3.561%
11/10/2022;ECOPETROL;2,179.00;2,243.00;2,207.44;2,172.00;5,892,516.00;13,007,353,092.00;-0.737%
12/10/2022;ECOPETROL;2,163.00;2,198.00;2,155.79;2,141.00;4,927,800.00;10,623,314,757.00;2.150%
13/10/2022;ECOPETROL;2,210.00;2,244.00;2,215.16;2,134.00;6,309,464.00;13,976,486,564.00;-2.288%
14/10/2022;ECOPETROL;2,160.00;2,204.00;2,168.03;2,160.00;4,774,223.00;10,350,644,244.00;4.082%
